run_id,strategy,seed,stall_width_m,aisle_width_m,ped_density_per_m,suv_probability,suv_present,pedestrian_count,pedestrian_speed_mps,total_cycle_time_s,reaction_time_s,gear_shifts,los_blocked,creep_activated,max_blind_exit_speed_mps,min_pedestrian_distance_m,proximity_warning,required_braking_mps2,critical_conflict,collision
0,forward,42,2.7,6.587,0.05625,0.22002,False,1,1.4665,15.5678,0.7099,1,False,False,1.2,1.959,False,5.2566,True,False
1,reverse,42,2.7,5.8717,0.17634,0.02123,False,1,1.4232,18.1214,0.787,2,False,False,1.2,2.9522,False,0.1255,False,False
2,forward,42,2.7,6.876,0.05162,0.64466,False,0,,15.9983,0.9607,1,False,False,1.2,,False,5.0601,True,False
3,reverse,42,2.7,6.0722,0.07319,0.07737,False,0,,18.5446,1.0621,2,False,False,1.2,,False,2.2774,False,False
4,forward,42,2.7,6.8721,0.23243,0.42898,False,2,1.1075,15.5829,0.5478,1,False,False,1.2,1.2025,True,0.142,False,False
5,reverse,42,2.7,5.5779,0.10697,0.23151,True,0,,17.7582,0.6406,2,False,False,1.2,,False,1.1032,False,False
6,forward,42,2.7,5.6717,0.11949,0.50855,True,0,,17.0687,0.7798,1,True,True,0.5,,False,0.8063,False,False
7,reverse,42,2.7,7.0923,0.21201,0.4873,True,1,1.5526,18.6564,0.4209,2,False,False,1.2,3.4484,False,0.0506,False,False
8,forward,42,2.7,6.588,0.18924,0.54769,False,1,1.5706,15.6347,0.7762,1,False,False,1.2,2.0502,False,1.7005,False,False
9,reverse,42,2.7,7.1029,0.26909,0.25174,False,3,1.5368,18.9975,0.7541,2,False,False,1.2,2.9343,True,2.1151,False,False
10,forward,42,2.7,5.9467,0.19615,0.71826,True,0,,17.3889,0.929,1,True,True,0.5,,False,3.9992,True,False
11,reverse,42,2.7,5.6545,0.06178,0.08772,False,1,1.3963,18.0597,0.8855,2,False,False,1.2,2.3477,False,2.8857,False,False
12,forward,42,2.7,7.1934,0.18228,0.77686,False,0,,15.9434,0.7085,1,False,False,1.2,,True,1.7796,False,False
13,reverse,42,2.7,6.4128,0.11671,0.51277,True,0,,18.2608,0.5269,2,False,False,1.2,,False,1.7533,False,False
14,forward,42,2.7,6.2713,0.28845,0.70068,True,1,1.745,17.2534,0.5917,1,True,True,0.5,0.9219,True,2.5385,False,False
15,reverse,42,2.7,6.5352,0.08821,0.61001,True,1,1.6724,18.7071,0.8828,2,False,False,1.2,2.1021,True,2.3338,False,False
16,forward,42,2.7,5.5331,0.28227,0.70298,False,1,1.7491,14.7006,0.4979,1,False,False,1.2,2.7439,True,3.0671,True,False
17,reverse,42,2.7,5.6177,0.24015,0.61267,True,2,1.5183,18.0064,0.8594,2,False,False,1.2,1.6102,True,2.8889,False,False
18,forward,42,2.7,5.8601,0.18482,0.58394,True,0,,17.3732,0.9672,1,True,True,0.5,,False,5.1528,True,False
19,reverse,42,2.7,6.2448,0.17939,0.0968,False,1,1.3912,18.3731,0.7632,2,False,False,1.2,2.5549,False,1.2751,False,False
20,forward,42,2.7,5.6207,0.20778,0.18315,False,1,1.4224,15.2296,0.9724,1,False,False,1.2,2.1772,True,2.7364,False,False
21,reverse,42,2.7,7.0904,0.19276,0.37814,False,1,1.5039,19.1148,0.8807,2,False,False,1.2,2.4949,False,2.6814,False,False
22,forward,42,2.7,6.2201,0.16676,0.58326,False,1,1.2509,15.4583,0.8284,1,False,False,1.2,2.4173,False,2.891,False,False
23,reverse,42,2.7,5.8234,0.16215,0.33751,True,0,,17.9622,0.6634,2,False,False,1.2,,True,1.5214,False,False
24,forward,42,2.7,7.0696,0.16078,0.68908,True,0,,18.1931,1.0352,1,True,True,0.5,,False,4.8971,True,False
25,reverse,42,2.7,7.1473,0.28159,0.67896,True,1,1.3983,18.9837,0.7076,2,False,False,1.2,2.2316,False,2.9037,False,False
26,forward,42,2.7,6.1443,0.29633,0.21216,False,4,1.3771,15.2474,0.6647,1,False,False,1.2,1.605,False,2.5091,False,False
27,reverse,42,2.7,6.4846,0.18555,0.59838,True,1,1.9039,18.5897,0.8028,2,False,False,1.2,1.7961,False,0.4976,False,False
28,forward,42,2.7,7.1333,0.07003,0.14866,False,1,1.7067,16.1632,0.9657,1,False,False,1.2,2.1208,True,0.4573,False,False
29,reverse,42,2.7,6.5529,0.15481,0.46694,False,1,1.6687,18.564,0.7266,2,False,False,1.2,1.6307,False,1.2363,False,False
30,forward,42,2.7,6.1728,0.21792,0.24,False,1,0.705,15.4903,0.8898,1,False,False,1.2,2.3535,True,2.9793,False,False
31,reverse,42,2.7,5.8624,0.1163,0.74661,False,1,1.3981,18.2332,0.9056,2,False,False,1.2,3.1302,False,2.7352,False,False
